0.045040000000000004	0.02544	4	0
0.0553	0.02222	6	10
0.08977	0.0279	10	20
0.1382	0.038009999999999995	14	30
0.1737	0.03464	16	40
0.1761	0.05455	11	50
0.1862	0.03984	10	60
0.4013	0.08659	14	70
0.4465	0.06975	8	80
0.5974	0.1257	5	85
0.5698	0.2115	2	87
0.44430000000000003	0.1272	3	93
0.5101	0.1012	6	95
0.4642	0.10579999999999999	9	100
0.3906	0.09885000000000001	11	105
0.3661	0.1004	13	110
0.1918	0.09559	7	120
0.1553	0.08426	7	130
0.1519	0.042910000000000004	13	140
0.1562	0.09436	9	150
0.0481	0.030340000000000002	3	160
